source_url,type,filename,extension,used_on,dimensions,approximate_size,alt_text,migration_priority,notes
"https://www.colegioconquistadores.com/wp-content/uploads/2023/03/1.png","image","1.png","png","/2023/03/03/una-calida-bienvenida/; /actividades/","1920x864","1.4 MB","Una cálida bienvenida","media","Muy pesado (>1 MB). Candidato a WebP/AVIF."
"https://www.colegioconquistadores.com/wp-content/uploads/2023/10/Academia-Baile.jpg","image","Academia-Baile.jpg","jpg","/academias/","461x461","66 KB","","media","Falta texto alternativo."
"https://www.colegioconquistadores.com/wp-content/uploads/2023/10/Academia-Conquistarte.jpg","image","Academia-Conquistarte.jpg","jpg","/academias/","400x400","36 KB","","media","Falta texto alternativo."
"https://www.colegioconquistadores.com/wp-content/uploads/2023/10/Academia-Futbol.jpg","image","Academia-Futbol.jpg","jpg","/academias/","400x400","58 KB","","media","Falta texto alternativo."
"https://www.colegioconquistadores.com/wp-content/uploads/2023/10/Academia-Teatro.jpg","image","Academia-Teatro.jpg","jpg","/academias/","771x771","170 KB","","media","Falta texto alternativo."
"https://www.colegioconquistadores.com/wp-content/uploads/2023/10/Arturo_Gallegillos_Sostenedor-150x150-1.png","image","Arturo_Gallegillos_Sostenedor-150x150-1.png","png","/personal/","150x150","36 KB","","media","Falta texto alternativo."
"https://www.colegioconquistadores.com/wp-content/uploads/2023/10/Carla_Flores_asistente_aula_4%C2%B0basico-150x150-1.png","image","Carla_Flores_asistente_aula_4°basico-150x150-1.png","png","/personal/","150x150","31 KB","","media","Falta texto alternativo."
"https://www.colegioconquistadores.com/wp-content/uploads/2023/10/cropped-Logo-1-180x180.png","image","cropped-Logo-1-180x180.png","png","plantilla global (68 URLs)","180x180","29 KB","","alta","Falta texto alternativo. Variante derivada; consolidar original y tamaños responsivos. Reutilizado globalmente."
"https://www.colegioconquistadores.com/wp-content/uploads/2023/10/cropped-Logo-1-192x192.png","image","cropped-Logo-1-192x192.png","png","plantilla global (68 URLs)","192x192","32 KB","","alta","Falta texto alternativo. Variante derivada; consolidar original y tamaños responsivos. Reutilizado globalmente."
"https://www.colegioconquistadores.com/wp-content/uploads/2023/10/cropped-Logo-1-270x270.png","image","cropped-Logo-1-270x270.png","png","plantilla global (68 URLs)","270x270","54 KB","","alta","Falta texto alternativo. Variante derivada; consolidar original y tamaños responsivos. Reutilizado globalmente."
"https://www.colegioconquistadores.com/wp-content/uploads/2023/10/cropped-Logo-1-32x32.png","image","cropped-Logo-1-32x32.png","png","plantilla global (68 URLs)","32x32","2 KB","","alta","Falta texto alternativo. Variante derivada; consolidar original y tamaños responsivos. Reutilizado globalmente."
"https://www.colegioconquistadores.com/wp-content/uploads/2023/10/Elsa_Diaz_profesora_jefe_2%C2%B0basico-150x150-1.png","image","Elsa_Diaz_profesora_jefe_2°basico-150x150-1.png","png","/personal/","150x150","32 KB","","media","Falta texto alternativo."
"https://www.colegioconquistadores.com/wp-content/uploads/2023/10/Francisca_Moroso_UTP_colegioconquistadores-150x150-1.png","image","Francisca_Moroso_UTP_colegioconquistadores-150x150-1.png","png","/personal/","150x150","34 KB","","media","Falta texto alternativo."
"https://www.colegioconquistadores.com/wp-content/uploads/2023/10/IMG_20230414_124050.jpg","image","IMG_20230414_124050.jpg","jpg","/2023/04/06/actividad-pascua-2/; /actividades/","4000x1800","2.2 MB","Actividad Pascua","media","Muy pesado (>1 MB). Candidato a WebP/AVIF."
"https://www.colegioconquistadores.com/wp-content/uploads/2023/10/Jorge_Rodriguez.png","image","Jorge_Rodriguez.png","png","/personal/","150x150","37 KB","","media","Falta texto alternativo."
"https://www.colegioconquistadores.com/wp-content/uploads/2023/10/Josefa_Fernandois.png","image","Josefa_Fernandois.png","png","/personal/","150x150","43 KB","","media","Falta texto alternativo."
"https://www.colegioconquistadores.com/wp-content/uploads/2023/10/Joselyn_gonzalez.png","image","Joselyn_gonzalez.png","png","/personal/","150x150","38 KB","","media","Falta texto alternativo."
"https://www.colegioconquistadores.com/wp-content/uploads/2023/10/Katherine_Fuenzalida_profesora_jefe_1%C2%B0basicowebp-150x150-1.png","image","Katherine_Fuenzalida_profesora_jefe_1°basicowebp-150x150-1.png","png","/personal/","150x150","40 KB","","media","Falta texto alternativo."
"https://www.colegioconquistadores.com/wp-content/uploads/2023/10/Logo-1.png","image","Logo-1.png","png","plantilla global (68 URLs)","1070x1161","509 KB","","alta","Falta texto alternativo. Pesado (>500 KB). Candidato a WebP/AVIF. Reutilizado globalmente."
"https://www.colegioconquistadores.com/wp-content/uploads/2023/10/Magda_Aranda_Profesora_jefe_4%C2%B0basico-150x150-1.png","image","Magda_Aranda_Profesora_jefe_4°basico-150x150-1.png","png","/personal/","150x150","36 KB","","media","Falta texto alternativo."
"https://www.colegioconquistadores.com/wp-content/uploads/2023/10/mundo_de_saberes-1-1536x691-1.jpg","image","mundo_de_saberes-1-1536x691-1.jpg","jpg","/talleres/","691x691","90 KB","","media","Falta texto alternativo."
"https://www.colegioconquistadores.com/wp-content/uploads/2023/10/Nicole_Rojas_Villegas-removebg-preview-modified-150x150-1.png","image","Nicole_Rojas_Villegas-removebg-preview-modified-150x150-1.png","png","/personal/","150x150","35 KB","","media","Falta texto alternativo."
"https://www.colegioconquistadores.com/wp-content/uploads/2023/10/Paola_Contreras_prof_jefe_3_basico_conquistadores2.png","image","Paola_Contreras_prof_jefe_3_basico_conquistadores2.png","png","/personal/","150x150","36 KB","","media","Falta texto alternativo."
"https://www.colegioconquistadores.com/wp-content/uploads/2023/10/Paola-Barraza.png","image","Paola-Barraza.png","png","/personal/","150x150","39 KB","","media","Falta texto alternativo."
"https://www.colegioconquistadores.com/wp-content/uploads/2023/10/Paulina_casanga.png","image","Paulina_casanga.png","png","/personal/","150x150","40 KB","","media","Falta texto alternativo."
"https://www.colegioconquistadores.com/wp-content/uploads/2023/10/Rodrigo_Araya_-_Musica.png","image","Rodrigo_Araya_-_Musica.png","png","/personal/","150x150","42 KB","","media","Falta texto alternativo."
"https://www.colegioconquistadores.com/wp-content/uploads/2023/10/sergio_caro.png","image","sergio_caro.png","png","/personal/","150x150","39 KB","","media","Falta texto alternativo."
"https://www.colegioconquistadores.com/wp-content/uploads/2023/10/Sivianne-Cabello.png","image","Sivianne-Cabello.png","png","/personal/","150x150","36 KB","","media","Falta texto alternativo."
"https://www.colegioconquistadores.com/wp-content/uploads/2023/10/Sofia_Navarrete_asistente_aula_3%C2%B0basico-150x150-1.png","image","Sofia_Navarrete_asistente_aula_3°basico-150x150-1.png","png","/personal/","150x150","36 KB","","media","Falta texto alternativo."
"https://www.colegioconquistadores.com/wp-content/uploads/2023/10/taller_motricidad-1024x461-1.jpg","image","taller_motricidad-1024x461-1.jpg","jpg","/talleres/","461x461","88 KB","","media","Falta texto alternativo."
"https://www.colegioconquistadores.com/wp-content/uploads/2023/10/taller_musica-1024x461-1.jpg","image","taller_musica-1024x461-1.jpg","jpg","/talleres/","461x461","60 KB","","media","Falta texto alternativo."
"https://www.colegioconquistadores.com/wp-content/uploads/2023/11/telefono.png","image","telefono.png","png","/","64x64","4 KB","","media","Falta texto alternativo."
"https://www.colegioconquistadores.com/wp-content/uploads/2023/12/Compra-materiales.pdf","document","Compra-materiales.pdf","pdf","/matriculas-2025/; /matriculas-2026/","unknown","132 KB","","alta","Conservar URL pública o configurar redirección 301 exacta."
"https://www.colegioconquistadores.com/wp-content/uploads/2023/12/EXTRACTO-REGLAMENTO-DE-CONVIVENCIA-ESCOLAR-COLEGIO-CONQUISTADORES-2024.pdf","document","EXTRACTO-REGLAMENTO-DE-CONVIVENCIA-ESCOLAR-COLEGIO-CONQUISTADORES-2024.pdf","pdf","/matriculas-2025/","unknown","192 KB","","alta","Conservar URL pública o configurar redirección 301 exacta."
"https://www.colegioconquistadores.com/wp-content/uploads/2023/12/PLAN-INTEGRAL-DE-SEGURIDAD-ESCOLAR-COLEGIO-CONQUISTADORES-2024.pdf","document","PLAN-INTEGRAL-DE-SEGURIDAD-ESCOLAR-COLEGIO-CONQUISTADORES-2024.pdf","pdf","plantilla global (68 URLs)","unknown","1.4 MB","","alta","Conservar URL pública o configurar redirección 301 exacta. Muy pesado (>1 MB). Reutilizado globalmente."
"https://www.colegioconquistadores.com/wp-content/uploads/2023/12/PROTOCOLO-ENFERMERIA-COLEGIO-CONQUISTADORES-2024.pdf","document","PROTOCOLO-ENFERMERIA-COLEGIO-CONQUISTADORES-2024.pdf","pdf","/documentos/; /protocolos-internos/","unknown","147 KB","","alta","Conservar URL pública o configurar redirección 301 exacta."
"https://www.colegioconquistadores.com/wp-content/uploads/2023/12/PROTOCOLO-RELACIONES-SENTIMENTALES-COLEGIO-CONQUISTADORES-2024.pdf","document","PROTOCOLO-RELACIONES-SENTIMENTALES-COLEGIO-CONQUISTADORES-2024.pdf","pdf","/documentos/; /protocolos-internos/","unknown","143 KB","","alta","Conservar URL pública o configurar redirección 301 exacta."
"https://www.colegioconquistadores.com/wp-content/uploads/2024/01/CALENDARIO-ACADEMICO-2024.pdf","document","CALENDARIO-ACADEMICO-2024.pdf","pdf","/documentos/","unknown","206 KB","","alta","Conservar URL pública o configurar redirección 301 exacta."
